ScribbleId,AveraDiceScore
girafe_d_30_n_6000_k_3,0.984407
girafe_d_30_n_5000_k_2,0.984526
girafe_d_30_n_5000_k_4,0.984381
girafe_d_30_n_4000_k_2,0.984479
girafe_d_30_n_4000_k_0,0.984287
girafe_d_30_n_4000_k_3,0.984354
girafe_d_30_n_6000_k_1,0.9844
girafe_d_30_n_5000_k_0,0.984394
girafe_d_30_n_4000_k_1,0.984545
girafe_d_30_n_6000_k_0,0.984328
girafe_d_30_n_6000_k_2,0.98442
girafe_d_30_n_6000_k_4,0.984394
girafe_d_30_n_5000_k_3,0.984367
girafe_d_30_n_4000_k_4,0.984407
girafe_d_30_n_5000_k_1,0.984407
